accel_x_mean,accel_x_min,accel_x_max,accel_y_mean,accel_y_min,accel_y_max,accel_z_mean,accel_z_min,accel_z_max,accel_sma,accel_ai,gyro_x_mean,gyro_x_min,gyro_x_max,gyro_y_mean,gyro_y_min,gyro_y_max,gyro_z_mean,gyro_z_min,gyro_z_max,gyro_sma,gyro_ai,bucket_bin,activity,activity_code,bucket_samples
-2540.42,-5450,310,3039.84,-610,7408,-130.64,-3836,1198,6172.62,4195.449181810742,-126.29,-3664,2176,220.43,-3467,3970,30.32,-1822,1307,1975.1200000000001,1304.1447354740837,327,Standing,3,100
-2691.58,-19914,3016,3620.2,-2204,14720,-483.84,-9148,3632,8503.58,5707.860736274688,1.58,-9129,4458,-38.97,-6058,6916,147.17,-3450,2946,4486.16,2910.9440657833557,328,Side-Step,2,100
-3297.5238095238096,-20036,2586,3160.8571428571427,-1872,19808,-427.1111111111111,-16768,4054,9230.825396825396,6216.180261036493,-409.93650793650795,-7868,3476,393.58730158730157,-6408,9426,497.2063492063492,-4079,6011,6210.6984126984125,4013.1065402602485,329,Side-Step,2,63
-2110.0,-12830,1902,3122.76,-3022,12400,-715.34,-13388,3654,7265.54,4941.410158603875,-207.0,-6242,3346,-181.64,-4855,9635,-207.35,-4530,4491,4820.51,3175.822358345941,330,Side-Step,2,100
-2999.288888888889,-17014,2328,3451.8,-2510,18894,-626.7777777777778,-12612,7466,9048.711111111112,5999.402497726693,-114.3,-6503,4460,18.044444444444444,-6096,8461,550.9777777777778,-3353,4872,4910.144444444445,3250.63120468517,331,Side-Step,2,90
-2564.56,-16112,3830,2773.92,-2416,14428,-529.06,-14598,7250,7946.22,5357.859155290893,-241.03,-4252,4394,162.51,-6811,8726,-78.28,-3683,6121,5498.42,3532.6750865874765,332,Side-Step,2,100
-1774.22,-20010,3308,3197.26,-1710,17604,-500.8,-10616,3012,7229.52,4933.61488890395,-93.83,-6152,5600,-483.97,-10738,9794,-166.86,-4471,4173,5279.3,3482.9366072637854,333,Side-Step,2,100
-3119.6,-14558,1936,3934.7,-5044,16054,-587.6,-18068,9106,10036.22,6781.858894398738,59.35,-11129,5610,-18.26,-9792,17292,465.85,-4728,7958,6453.58,4174.355969665555,334,Side-Step,2,100
-2429.02,-17414,2582,2913.12,-2438,27034,-548.06,-14994,6180,8457.48,5787.601793307263,-196.71,-10402,7327,-146.65,-7465,21035,285.03,-5604,8683,7120.71,4591.108110171507,335,Side-Step,2,100
-1953.36,-22098,3168,3588.28,-3138,20266,-844.56,-24318,6946,8830.36,5878.113398280551,-270.05,-9484,6625,117.43,-10621,13197,-167.43,-6276,7463,6364.650000000001,4152.221558161203,336,Side-Step,2,100
